TF	Gene	Input
AT3G27920	AT1G31120	1
AT3G27920	AT1G30921	1
AT3G27920	AT1G30780	1
AT3G27920	AT1G30060	1
AT3G27920	AT1G28375	1
AT3G27920	AT1G28370	1
AT3G27920	AT1G28260	1
AT3G27920	AT1G28190	1
AT3G27920	AT1G28090	1
AT3G27920	AT1G26350	1
AT3G27920	AT1G25220	1
AT3G27920	AT1G24625	1
AT3G27920	AT1G23310	1
AT3G27920	AT1G20940	1
AT3G27920	AT1G20930	1
AT3G27920	AT1G19050	1
AT3G27920	AT1G18120	1
AT3G27920	AT1G18100	1
AT3G27920	AT1G17250	1
AT3G27920	AT1G16740	1
AT3G27920	AT1G14720	1
AT3G27920	AT1G14640	1
AT3G27920	AT1G12370	1
AT3G27920	AT1G11700	1
AT3G27920	AT1G11660	1
AT3G27920	AT1G11655	1
AT3G27920	AT1G09860	1
AT3G27920	AT1G09780	1
AT3G27920	AT1G08220	1
AT3G27920	AT1G08090	1
AT3G27920	AT1G07920	1
AT3G27920	AT1G07728	1
AT3G27920	AT1G07720	1
AT3G27920	AT1G06910	1
AT3G27920	AT1G06660	1
AT3G27920	AT1G06570	1
AT3G27920	AT1G04830	1
AT3G27920	AT1G03720	1
AT3G27920	AT5G64960	1
AT3G27920	AT5G18580	1
AT3G27920	AT4G18770	1
AT3G27920	AT2G35110	1
AT2G37260	AT2G37260	1
AT3G27920	AT5G53200	1
AT3G27920	AT1G71030	1
AT3G27920	AT4G00480	1
AT3G27920	AT5G52510	1
AT3G27920	AT5G28350	1
AT3G27920	AT4G20960	1
AT3G27920	AT3G50800	1
AT3G27920	AT3G50790	1
AT3G27920	AT2G30410	1
AT3G27920	AT3G60830	1
AT3G27920	AT3G12280	1
AT3G27920	AT4G01060	1
AT3G27920	AT5G04470	1
AT3G27920	AT2G26250	1
AT3G27920	AT2G37260	1
AT3G27920	AT2G46410	1
AT3G27920	AT1G01380	1
AT3G27920	AT1G79840	1
AT3G27920	AT5G33365	1
AT3G27920	AT5G33290	1
AT3G27920	AT5G33285	1
AT3G27920	AT5G32519	1
AT3G27920	AT5G32517	1
AT3G27920	AT5G32513	1
AT3G27920	AT5G32512	1
AT3G27920	AT5G32490	1
AT3G27920	AT5G32488	1
AT3G27920	AT5G32426	1
AT3G27920	AT5G32402	1
AT3G27920	AT5G32293	1
AT3G27920	AT5G32179	1
AT3G27920	AT5G32125	1
AT3G27920	AT5G31945	1
AT3G27920	AT5G31927	1
AT3G27920	AT5G31736	1
AT3G27920	AT5G31572	1
AT3G27920	AT5G30673	1
AT3G27920	AT5G30584	1
AT3G27920	AT5G29975	1
AT3G27920	AT5G29571	1
AT3G27920	AT5G28715	1
AT3G27920	AT5G28712	1
AT3G27920	AT5G28484	1
AT3G27920	AT5G28470	1
AT3G27920	AT5G28110	1
AT3G27920	AT5G27480	1
AT3G27920	AT5G27460	1
AT3G27920	AT5G27360	1
AT3G27920	AT5G27240	1
AT3G27920	AT5G26260	1
AT3G27920	AT5G25220	1
AT3G27920	AT5G24870	1
AT3G27920	AT5G23980	1
AT3G27920	AT5G23910	1
AT3G27920	AT5G23900	1
AT3G27920	AT5G23212	1
AT3G27920	AT5G23140	1
AT3G27920	AT5G23130	1
AT3G27920	AT5G22780	1
AT3G27920	AT5G22500	1
AT3G27920	AT5G22030	1
AT3G27920	AT5G20852	1
AT3G27920	AT5G20850	1
AT3G27920	AT5G19050	1
AT3G27920	AT5G18830	1
AT3G27920	AT5G17725	1
AT3G27920	AT5G17590	1
AT3G27920	AT5G17300	1
AT3G27920	AT5G16930	1
AT3G27920	AT5G10610	1
AT3G27920	AT5G10600	1
AT3G27920	AT5G10590	1
AT3G27920	AT5G08540	1
AT3G27920	AT5G08530	1
AT3G27920	AT5G07480	1
AT3G27920	AT5G07470	1
AT3G27920	AT5G06180	1
AT3G27920	AT5G06040	1
AT3G27920	AT5G05987	1
AT3G27920	AT5G05985	1
AT3G27920	AT5G03920	1
AT3G27920	AT5G03770	1
AT3G27920	AT5G03180	1
AT3G27920	AT5G02900	1
AT3G27920	AT5G02890	1
AT3G27920	AT4G37950	1
AT3G27920	AT4G36940	1
AT3G27920	AT4G35940	1
AT3G27920	AT4G34760	1
AT3G27920	AT4G31800	1
AT3G27920	AT4G30150	1
AT3G27920	AT4G30130	1
AT3G27920	AT4G29530	1
AT3G27920	AT4G28550	1
AT3G27920	AT4G26450	1
AT3G27920	AT4G26440	1
AT3G27920	AT4G26050	1
AT3G27920	AT4G25400	1
AT3G27920	AT4G25010	1
AT3G27920	AT4G24415	1
AT3G27920	AT4G24100	1
AT3G27920	AT4G24090	1
AT3G27920	AT4G22540	1
AT3G27920	AT4G21000	1
AT3G27920	AT4G20670	1
AT3G27920	AT4G20650	1
