TF	Gene	Score
APC	FAM111B	1
APC	FCHSD2	1
APC	FIZ1	1
APC	FOXO3	1
APC	GAPDH	1
APC	GSK3A	1
APC	H2AFV	1
APC	HCN3	1
APC	HIST1H2AH	1
APC	HIST1H2BK	1
APC	HIST1H4B	1
APC	HIST1H4I	1
APC	HNRNPD	1
APC	HNRPLL	1
APC	ID3	1
APC	IKZF3	1
APC	IPO4	1
APC	IRF4	1
APC	IRS2	1
APC	KDELC2	1
APC	LSM3	1
APC	LUC7L2	1
APC	MEPCE	1
APC	MKNK2	1
APC	MLEC	1
APC	NLE1	1
APC	NOLC1	1
APC	NR3C2	1
APC	PAX6	1
APC	PCGF2	1
APC	PCNA	1
APC	PFN1	1
APC	PIBF1	1
APC	PPP1R13L	1
APC	PPP2R5A	1
APC	PRDX2	1
APC	PRKCE	1
APC	PRPF19	1
APC	PRRT2	1
APC	PSMB3	1
APC	PTMA	1
APC	RAB34	1
APC	RBL1	1
APC	RNF167	1
APC	RPL23A	1
APC	RPL23AP42	1
APC	RRM1	1
APC	SLC16A6	1
APC	SLC25A11	1
APC	SLC5A6	1
APC	SNRNP70	1
APC	SRSF1	1
APC	SRSF10	1
APC	STAG1	1
APC	STK35	1
APC	TLCD1	1
APC	TM9SF1	1
APC	TMEM109	1
APC	TMEM194A	1
APC	TTC7A	1
APC	TUBA1B	1
APC	TXNDC12	1
APC	UBE2Q1	1
APC	UHRF1	1
APC	UNC45B	1
APC	XPC	1
APC	ZC3H10	1
APC	ZCWPW1	1
APC	ZMYND19	1
APC	ZNF524	1
APC	ZNF644	1
APC	ZNF74	1
APC	ZPBP2	1
AR	ABCB11	1
AR	ABHD14A	1
AR	ABHD14B	1
AR	ACAP3	1
AR	ACSL3	1
AR	ACY1	1
AR	ADAM7	1
AR	ADORA2A	1
AR	ADRBK1	1
AR	AFF4	1
AR	AGFG2	1
AR	AHDC1	1
AR	AHNAK	1
AR	AKT1	1
AR	ALG3	1
AR	ALS2CL	1
AR	AMD1	1
AR	AMPD2	1
AR	ANKRD5	1
AR	AQP3	1
AR	ARID5A	1
AR	ARPM1	1
AR	ASB2	1
AR	ASTL	1
AR	ATP2A3	1
AR	ATP6V0B	1
AR	B3GNT2	1
AR	BCKDK	1
AR	BCL11B	1
AR	BCL9L	1
AR	BIRC5	1
AR	BRD4	1
AR	BZRAP1	1
AR	C10ORF25	1
AR	C12ORF57	1
AR	C14ORF43	1
AR	C14ORF80	1
AR	C16ORF7	1
AR	C17ORF63	1
AR	C19ORF73	1
AR	C1ORF31	1
AR	C1ORF51	1
AR	C1ORF54	1
AR	C21ORF63	1
AR	C2ORF50	1
AR	C2ORF68	1
AR	C4ORF44	1
AR	C4ORF46	1
AR	C5ORF41	1
AR	C6ORF81	1
AR	C7ORF49	1
AR	C9ORF172	1
AR	CARS	1
AR	CAT	1
AR	CCND2	1
AR	CDC20B	1
AR	CDH4	1
AR	CDON	1
AR	CELF2	1
AR	CEP68	1
AR	CIC	1
AR	CISH	1
AR	CRIP1	1
AR	CSK	1
AR	CYP4F3	1
AR	DENND2D	1
AR	DEPDC4	1
AR	DGKZ	1
AR	DHX34	1
AR	DIEXF	1
AR	DISP2	1
AR	DLGAP2	1
AR	DLX2	1
AR	DUSP2	1
AR	DUSP26	1
AR	DUSP7	1
AR	ECE2	1
AR	EGFL7	1
AR	ELMOD1	1
AR	ETFDH	1
AR	EXTL2	1
AR	FAM160B1	1
AR	FCHO2	1
AR	FGD5	1
AR	FLJ45983	1
AR	GALK1	1
AR	GIT1	1
AR	GJA5	1
AR	GJC2	1
AR	GNPDA1	1
AR	GPR25	1
AR	GPX4	1
AR	GRAP2	1
AR	GRIFIN	1
AR	HCFC1	1
AR	HDAC7	1
AR	HIST1H1D	1
AR	HIST1H3E	1
AR	HIST1H4F	1
AR	HNRNPUL1	1
AR	HSPA4	1
AR	IL7R	1
AR	ILF2	1
AR	IRAK3	1
AR	ITIH4	1
AR	ITPRIP	1
AR	KDM6B	1
AR	KIF21B	1
AR	KLF15	1
AR	KLF6	1
AR	LBH	1
AR	LDB1	1
AR	LFNG	1
AR	LHFPL1	1
AR	LIN7B	1
AR	LINGO4	1
AR	LOC643923	1
AR	LRDD	1
AR	LTBR	1
AR	LZTS2	1
AR	MACF1	1
AR	MAMDC4	1
AR	MAP2	1
AR	MAP2K3	1
AR	MAP7D1	1
AR	MAPKAPK3	1
AR	MASTL	1
AR	MAZ	1
AR	MCHR1	1
AR	MED16	1
AR	MED30	1
AR	MEF2D	1
AR	METTL13	1
AR	MFHAS1	1
AR	MGAT1	1
AR	MIS18BP1	1
AR	MLL	1
AR	MRO	1
AR	MRRF	1
AR	MT1A	1
AR	MT1B	1
AR	MT1E	1
AR	MT1M	1
AR	MT2A	1
AR	MTMR6	1
AR	MUSTN1	1
AR	MYNN	1
AR	MYST1	1
AR	NFKBIA	1
AR	NPR1	1
AR	NR1D1	1
AR	OBFC2B	1
AR	P2RX6	1
AR	PAG1	1
AR	PCBP4	1
AR	PCYT1B	1
AR	PEG10	1
AR	PER1	1
AR	PHF20L1	1
AR	PHF21A	1
AR	PHKG2	1
AR	PHPT1	1
AR	PLCG1	1
AR	PLEC	1
AR	PLIN2	1
AR	POMC	1
AR	PPFIA3	1
AR	PPP1R16B	1
AR	PPT2	1
AR	PROP1	1
AR	PRRT1	1
AR	PRRT2	1
AR	PSD4	1
AR	PSMB8	1
AR	PSMB9	1
AR	PTGR1	1
AR	PTPN6	1
AR	PTPN7	1
AR	PUSL1	1
AR	RARG	1
AR	RASGRF2	1
AR	RBM18	1
AR	RGL4	1
AR	RGS14	1
AR	RICTOR	1
AR	RNF181	1
AR	RNF41	1
AR	RNH1	1
AR	RNPEPL1	1
AR	RORC	1
AR	RPL38	1
AR	RRAGD	1
AR	RREB1	1
AR	RUNX1	1
AR	S100A4	1
AR	S100A5	1
AR	S100A6	1
AR	SCNN1A	1
AR	SCYL2	1
AR	SEC22A	1
AR	SEC22B	1
AR	SERINC5	1
AR	SGCE	1
AR	SH2D6	1
AR	SH3BP1	1
AR	SKOR1	1
AR	SKP1	1
AR	SLC2A1	1
AR	SLC30A7	1
AR	SLC34A1	1
AR	SLC39A5	1
AR	SLC5A9	1
AR	SLC7A8	1
AR	SNX14	1
AR	SNX30	1
AR	SRP14	1
AR	STK39	1
AR	SYNGAP1	1
AR	TAF10	1
AR	TAF8	1
AR	TAGLN2	1
AR	TAP1	1
AR	TBC1D1	1
AR	TBC1D9B	1
AR	TCF7	1
AR	TCTEX1D4	1
AR	TGIF1	1
AR	THRA	1
AR	TLR9	1
AR	TM9SF3	1
AR	TMC6	1
AR	TMC8	1
AR	TMEM150A	1
AR	TMEM204	1
AR	TMIE	1
AR	TNKS1BP1	1
AR	TRIM38	1
AR	TSPAN31	1
AR	TWF2	1
AR	TXLNG	1
AR	UBQLN3	1
AR	UBQLNL	1
AR	USP53	1
AR	VAMP2	1
AR	VPREB1	1
AR	VPREB3	1
AR	WBP4	1
AR	XKRX	1
AR	YME1L1	1
AR	ZBTB1	1
AR	ZBTB25	1
AR	ZKSCAN2	1
AR	ZNF22	1
AR	ZNF276	1
AR	ZNF341	1
AR	ZNF501	1
AR	ZNF70	1
ARID5B	ACADM	1
ARID5B	ACAP3	1
ARID5B	ADORA2A	1
ARID5B	AGPAT3	1
ARID5B	AKT1	1
ARID5B	AMDHD2	1
ARID5B	ANKRD13B	1
ARID5B	ARF1	1
ARID5B	ARID3A	1
ARID5B	ARMC1	1
ARID5B	ATP6V0B	1
ARID5B	ATP6V0C	1
ARID5B	ATXN7L2	1
ARID5B	B3GNTL1	1
ARID5B	B4GALT2	1
ARID5B	BCL9L	1
ARID5B	BZRAP1	1
ARID5B	C14ORF43	1
ARID5B	C14ORF80	1
ARID5B	C16ORF42	1
ARID5B	C19ORF23	1
ARID5B	C19ORF24	1
ARID5B	C1ORF38	1
ARID5B	C1ORF86	1
ARID5B	C20ORF112	1
ARID5B	C2ORF85	1
ARID5B	C4ORF37	1
ARID5B	C6ORF108	1
ARID5B	C9ORF169	1
ARID5B	CAPN10	1
ARID5B	CARD6	1
ARID5B	CARS2	1
ARID5B	CBLL1	1
ARID5B	CCDC109B	1
ARID5B	CCDC150	1
ARID5B	CCDC78	1
ARID5B	CD47	1
ARID5B	CDC42BPG	1
ARID5B	CDK8	1
ARID5B	CEND1	1
ARID5B	CHAC2	1
ARID5B	CIRBP	1
ARID5B	CISD1	1
ARID5B	CNPY3	1
ARID5B	CRIP1	1
ARID5B	CRIP2	1
ARID5B	CTSD	1
ARID5B	CXORF65	1
ARID5B	CYB561D2	1
ARID5B	CYHR1	1
ARID5B	DALRD3	1
ARID5B	DCAKD	1
ARID5B	DCTN4	1
ARID5B	DDX17	1
ARID5B	DEAF1	1
ARID5B	DGKA	1
ARID5B	DPH2	1
ARID5B	DUSP28	1
ARID5B	EBNA1BP2	1
ARID5B	ECHS1	1
ARID5B	EEF1D	1
ARID5B	EME2	1
ARID5B	ESRP2	1
ARID5B	FAM173A	1
ARID5B	FAM194A	1
ARID5B	FAM195A	1
ARID5B	FASN	1
ARID5B	FGFRL1	1
ARID5B	FMNL1	1
ARID5B	GIT1	1
ARID5B	GNAI3	1
ARID5B	GNPTG	1
ARID5B	GOLGA3	1
ARID5B	GPR17	1
ARID5B	GPR61	1
ARID5B	GRIFIN	1
ARID5B	GRXCR2	1
ARID5B	GSPT1	1
ARID5B	GTSE1	1
ARID5B	H3F3B	1
ARID5B	HAGHL	1
ARID5B	HDAC10	1
ARID5B	HES5	1
ARID5B	IL2RG	1
ARID5B	INF2	1
ARID5B	ING1	1
ARID5B	IPMK	1
ARID5B	JMJD8	1
ARID5B	KDM5B	1
ARID5B	KDM6B	1
ARID5B	KIAA0182	1
ARID5B	LAMP1	1
ARID5B	LAMTOR2	1
ARID5B	LFNG	1
ARID5B	LMBRD2	1
ARID5B	LOH12CR1	1
ARID5B	LRDD	1
ARID5B	LRRC26	1
ARID5B	LRRC45	1
ARID5B	LSP1	1
ARID5B	LZTS2	1
ARID5B	MAF1	1
ARID5B	MAMDC4	1
ARID5B	MANSC1	1
ARID5B	MAP2K3	1
ARID5B	MARCH9	1
ARID5B	MBNL2	1
ARID5B	MED12	1
ARID5B	MEF2D	1
ARID5B	METRN	1
ARID5B	MORN5	1
ARID5B	MRPS34	1
ARID5B	MT1E	1
ARID5B	MT1M	1
ARID5B	MTERFD1	1
ARID5B	MUC1	1
ARID5B	NAIF1	1
ARID5B	NCKAP1	1
ARID5B	NDUFA8	1
ARID5B	NDUFAF3	1
ARID5B	NFATC1	1
ARID5B	NFKBIE	1
ARID5B	NMT1	1
ARID5B	NPRL2	1
ARID5B	NR1D1	1
ARID5B	NRARP	1
ARID5B	NUBP2	1
