HDGF	SPTSSB	CD151
PTPRF	ORC1	IFT43
CHD4	PIR	CDV3
TMEM8A	LRCH3	SHKBP1
SCARB1	VCP	ZNF268
RASGRP2	TBC1D19	SPEN
TMSB4XP4	WIPI1	TRA2B
CHD1L	NOL11	TGFBRAP1
GPANK1	ATE1	TSC22D2
NBEAL1	VEGFA	DMXL2
SLC2A11	XPR1	ZNHIT6
ARAF	TMEM160	PTPRC
LLGL1	PPP1R35	APOLD1
ABHD14A-ACY1	RPS15AP5	ATG12
ACTR1B	SRRM2	RECQL
CLUH	IBTK	TBCB
FAM65A	DNAJC1	TTPAL
IRF7	RPGRIP1L	ZNF664
KLHDC8B	ZCCHC11	TTC32
OR10R2	PMPCA	BRAT1
RABGGTA	TTC3	ARHGAP17
RUSC2	NFKB1	NSF
SPOCD1	WDR44	BZW1P1
TSSC4	ORC5	CRTAP
WDR81	HERC2P2	FAM65B
ZNF787	PSMB9	FMR1
NCOA6	PTMS	ZNF232
YBX1P10	PIKFYVE	SMPD1
MKL1	FA2H	YWHAG
MYLIP	C7orf13	ELOVL4
NADSYN1	PSMD10	TBX18
C6orf223	EIF2AK1	PYURF
PPP5C	IBA57	TRAPPC5
FZD2	CHEK1	RNF220
MAP2K5	ZBTB18	NCOA1
ZNF777	ASMTL	FAH
PPP2R2D	BCAT2	ANKRD36C
CLPTM1	MAP9	CHAC1
ARRDC2	SOCS1	CALCOCO1
NF2	ARL2BP	GBAS
TECRP2	FAM120B	PLCB2
MMS19	SSRP1	RNASEK-C17orf49
RIN3	MIER1	PPP1R1C
PRR13	DET1	TOPBP1
RILPL2	MKI67	NCBP1
C17orf96	BATF3	FOXO3
CEP55	FER	PIEZO2
GFRA1	ANKEF1	CDC45
ITGB4	POLG	ZSCAN22
MTA1	RHOA	EPM2A
NAT8L	SHROOM2	MRPL3
NBPF14	HNRNPLL	VPS28
SLC39A4	HNRPLL	PPP3R1
SMARCE1	DAZAP2	MSH2
STK35	PRKACB	ZNF92
TEX264	ZNF627	SYNGR1
KIAA0195	PUS1	BRCC3
TUBGCP6	NDEL1	SRP9
TTC31	POLR2L	MIR22HG
CDKN2AIPNL	USP11	TMEM243
DUT	RPS2P4	PTPMT1
FTSJD2	PAPSS1	EIF5
CCT2	EIF3D	SAR1B
METAP1	EPHB1	LYRM1
CAD	EIF5A	SREK1
FAHD2CP	WDR78	KBTBD11
SMYD5	ANAPC10	USMG5
NAA10	PARG	ZNF277
QPRT	C4orf29	PDE10A
CLK3	EIF3A	S100Z
CPSF1	MED29	TP53
BIN3	SCAF11	RSRC1
FMNL1	RPL18A	RNF123
FPGS	FAM114A2	ATP5A1P7
ZNF740	CCDC124	C1orf112
RPS16	ECH1	FAM49B
CENPT	MYRF	SEC31B
ADA	CEP68	RPS28
AMT	EAF1	KBTBD2
ARL17A	CPNE3	RQCD1
BRICD5	MTG1	BBS7
EFNA3	NEAT1	IL1RAP
ELK1	RPS2	BZW1
GNL2	PSMD5	NAIP
MAPK8IP3	PTMAP3	RNF7
MYO1C	VBP1	ATRAID
RPL19P21	CARD8	ABR
XRCC1	COPS4	UBQLN4
PSD4	HEATR2	TRAPPC2L
C21orf33	HSPB1P2	NEU1
ALKBH7	GLT1D1	CCDC43
APH1A	LSM7	EBAG9
SAFB	ZNF606	NUP210
RPLP0P2	C4orf46	SAE1
RGS16	STX3	CREM
GRN	RBBP7	ZNRF2
EEF1A1P12	TMEM138	EZR
AGBL5	RER1	QSER1
ANGEL1	CEBPB	NFE2L1
WDTC1	DENND2D	LIN9
PIK3R2	WIPI2	MKNK1
HIST1H1C	RNF19A	PKN3
MIF	TMEM123	DECR2
TTC3P1	CFDP1	H3F3B
GTF3C1	TCTEX1D2	TAOK3
BIN1	GNB1	PLSCR3
DENND1C	SRPR	EEFSEC
EPB41	MTMR2	DDX59
NOP9	PPP1CA	B9D2
PPFIA3	RPL19	SPRTN
PRKAG1	SNRPC	MAST3
SLC9A3R1	SLC14A1	ZNF765
ANKRD36C	LSG1	CCNB1IP1
YOD1	ITFG3	NUCKS1
DRG2	CECR5	C17orf58
TECRP1	GMEB2	HBEGF
NKD2	FAM102B	LDHBP2
ZFP36	TRIM9	ELMOD2
YIF1A	NCAPG	VRK3
TPST2	SNRPD3	C6orf57
NDUFB2	EPC1	IDH2
OTUD5	VWA9	ST13P20
RPL15P3	SKIV2L2	GMIP
RASA4B	TTC23	RPL29P11
TTYH3	KHDRBS1	MAPT
LRRC41	ZDHHC7	PGM2
RABGAP1	RPS2P5	TTC37
PARVG	FBXL12	CCNYL1
ACADVL	CAMKMT	PPIAP29
MFGE8	TMED3	EFTUD2
CST3	C15orf38-AP3S2	EMC2
EIF4A1P10	WNK2	RGS1
FAM171A2	CHMP1A	ALDH1B1
LEPREL2	PGAM1	CTNNAL1
LIME1	TRAF3IP2	ATP5J
MAN1B1	MPC1	COQ3
MAP2K7	HIRIP3	SEC13
PCTP	LRRN1	SLC35D1
RPH3AL	ISG15	MDK
TUBB4A	CAPN12	TSSC1
ZDHHC9	BUB1	EFCAB4B
NELFCD	CEP192	RDH10
FNBP1	ATP5J	DGCR6L
ADRBK2	ZNF581	VASH2
PATL1	TUBBP10	LARP4
PHF15	MCM3AP	CTSF
PPRC1	RNU6-7	LINC00116
PLXND1	RNU6-40	PHF2
SIL1	HIST1H3D	NDUFB3
PMS2P2	ZNF503	RASA2
SAP30BP	ABHD3	TMEM60
KDM5C	ZNF222	METTL21B
TRAPPC1	RSPRY1	PDCD7
PARP16	PPP1R14B	LPP
OSBPL9	PRH1	DCLRE1B
PSMD8	DHX15	MAFK
H3F3AP5	TMCO3	MICU1
RECQL4	RRM2	RIOK1
EEF1D	ODF2L	PHACTR2
KATNB1	RAD50	MAP1LC3B
SLC41A3	ZNF274	MAGEH1
SHISA9	PPAP2A	COX14
OGFOD2	ZNF660	MED1
SPSB4	VASH2	PSMD6
UBB	ATP5G2P1	SRSF1
AAAS	RAB7A	MZT1
TSPYL2	TTC37	SNRPGP9
PAN2	FAHD2A	LRRC28
RALGDS	CD99	HADHB
PHF21A	RPS2P7	PIEZO1
ARHGEF6	CASP3	MICAL2
H3F3B	PLCB1	DCAF11
REXO2	CDKN2C	ST13P15
CCNG2	KANK2	RILP
FBXL19	PGM1	SFXN3
GNAZ	ERLIN2	AIG1
KHK	PEX13	C16orf91
LDHAP5	UBA6	ATAD5
MARVELD1	ARPC1A	HTATIP2
MTSS1L	ZNF260	GRIPAP1
PROCA1	SLC25A26	AVEN
RPS14	MAEA	RBM39
COX5B	C6orf136	NBR1
UBXN6	SH2D1A	KRT10
CTDSP1	DHX34	PSMD14
PPP6R2	SUGT1	TRIM2
ARMC5	NEDD4	FKRP
PTPN23	BRD9	STRA13
NONO	IMP3	IFFO2
LBH	C19orf52	SP2
SP1	RANBP2	CD164
TRIB1	RPS3AP47	HMGN1
PKN2	DPY30	PRH1
FKBP4P1	KLK1	CLTC
PABPC3	MYH10	ZBTB2
RPL3P1	P4HA1	IGF2R
TMEM214	INTS1	ZSCAN4
PLCXD1	TRAPPC4	SP3
SLC19A1	CHD3	TK2
POM121	RPS2P35	DVL2
DGKA	RPS18	NUSAP1
GGT7	GOLGA8B	CDC14A
IL16	SRRT	FAUP1
PPAN	CEPT1	SFMBT2
ALKBH6	HSPB1P1	NMD3
FAM203A	SMYD2	ZNF610
GUSB	EIF2C3	TMEM44
MVB12A	AGO3	CTNNA1
SIRT7	C1orf86	CRABP1
TMEM91	RPS3AP26	BTBD7
GLA	FAM208A	NBPF14
TMEM173	PLK4	SMARCAD1
PUS7L	CMAS	FAM91A1
RNF25	AP1G1	RRAGA
HMGB1P20	NELFE	CHFR
SQSTM1	BAZ1B	MFAP3
CERKL	DUSP1	AGTRAP
CLDN15	PVT1	NDUFA11
GCN1L1	ZSCAN25	PPP3CB
EPB41L4A-AS1	POP1	NADK
BAK1	C12orf45	ATP6V1F
SLC25A40	KIFC2	KLF7
TGFB1	PIGB	EIF3LP2
FAM32A	TUBB	FNTA
ZNF800	ZNF559-ZNF177	CIDECP
PHF1	ZNF177	NUP37
NOMO3	TUBBP1	FAU
CTU1	PANK1	PLP2
ITGB2	VPS13B	TTC3P1
IL10RB	NDUFA12	LRP11
CRIP1P4	APBA2	DNMT3A
RPL17P37	H3F3AP5	RMND5A
PYCARD	SLC2A1	TANC1
MPND	SLC43A3	HMGN1P38
FAM174B	RNF13	EXOC7
BAMBI	ERCC6L	PIGZ
P4HA1	CLN8	BMP2K
CRCP	NPM3	NHP2L1
SUZ12	GLRXP3	TPP1
SLC35F2	ZNF823	ACOT1
HEMK1	NASP	POLI
BANF1P3	CCNB2	SYF2
BUB1	PARP4	CHM
SMOX	MTIF3	RPS3
SUSD1	CEP76	ADA
YWHAZP6	SEPHS1	UNC119
APBA3	PTP4A1	TMEM216
KLF3	SLMAP	PPM1B
SELPLG	WDR52	ARHGAP11A
FKBP1A	TRIM47	NDUFB11
MAVS	PLSCR1	HOXB3
SSRP1	FABP5P2	VWA9
TCOF1	CPNE1	METAP2
TRIAP1	CLTC	CHST11
CXorf40B	CEP97	RNF219
SPEN	SLC6A6	PRKAB1
SNX20	ATP6V0C	NIN
HMGB1P14	RBM28	INSIG2
RPL10AP6	ESPL1	COA3
MVB12B	PSMC2	TSHR
NCK2	ADORA2A	NOLC1
NEK9	PSMB3	DHX29
DDOST	BBC3	TRIM66
RAB14	TIMM21	KCNH2
TIMM50	SLC16A6	UBE2D3
RBM33	COX4I2	TXNRD2
RFC2	CDC42EP3	WDR1
PREB	CWC27	TOPORS-AS1
ADCK2	DHPS	NEDD1
LRFN4	MAGEH1	PNPT1
PLD3	KCTD1	ATP2B2
RNU1-4	PAK1IP1	RPL30P5
SHCBP1	ITGAV	MTHFD1L
MPG	EPHX1	EIF2C3
DHX30	CHRNA2	AGO3
HIST1H1D	ZNF326	RFX3
RTN4R	PPP3CB	STXBP4
SCAF4	CBFA2T3	TADA3
PTDSS2	NPIPB3	SMN1
MRPS25	NPIPL3	CPT2
KIF22	TAPBPL	NDUFB4
PBK	DMXL1	SRF
ZNF395	CTDSP2	ZBTB49
SPCS3	MTHFD2	KPTN
WDR34	SKA1	MYADM
IFRD2	PLAA	WDR44
ZMAT5	MYB	HCST
NECAB3	DDX39A	CCNL1
CHTF8	ATG13	SMARCAL1
ZSWIM8	CMAHP	TBC1D2
CYTH2	FAF2	CTDNEP1
TBRG4	YIPF6	PHLPP2
C1orf159	PTOV1	EEF2K
SFT2D3	EIF3E	DET1
SNX12	TMEM222	TIAL1
ATP5D	KCNJ4	ILF3
LPHN1	RPP21	PHC3
HYI	ETV5	SACS
FAM203B	ZNF528	MAPKAP1
LRRC23	IDI1	ATXN7
RPS15AP5	CD44	POLA2
ST6GALNAC6	LSM3P4	IFI6
TMEM102	HTATSF1	FLOT2
TRPV2	INTS2	AFMID
RHOT2	TUBB4B	CBR4
UROS	RPL35A	FOXJ3
RNPEP	SCRN3	PPM1H
RCOR2	PKN3	MAP1A
MRGBP	COQ9	ANK2
WRNIP1	MINA	ABCA1
CHMP2A	UCHL3	KHDRBS1
MRPL53	RPS2P46	XPO1
RNASEK	SUCLA2	STX10
CDC25B	RPL19P21	LINC00680
HNRNPAB	TXN	PRKACB
EEF1A1P5	PIM3	NDUFA12
ENGASE	ODC1	LINC00849
CBFA2T2	GIMAP5	HMGB1P5
TBC1D22A	MTO1	DGCR8
PACS2	FAM115A	ZNF107
FAM57B	C9orf16	CALML4
PCYT2	GLCCI1	GCLM
FCGRT	ANKRD37	GALNT2
TRAIP	RPL31P2	RIPK2
PDIA4	KDM1B	GSTP1
ATG7	TPR	ABCG1
DCPS	BMP4	ST13P18
PILRB	TMEM216	ITSN2
HIST2H2AA3	TECR	PEX13
SDHC	CCDC53	PRKAR1A
BAP1	CXXC5	GAD1
ADM	GPR137	CIDEC
NDUFB7	SMC1A	EIF4ENIF1
INTS3	NAA38	DEXI
SRSF9	CA8	SGPP1
MRPS35	IFT81	GJB2
ARFGAP3	METTL20	XPNPEP1
FAM195A	TNFRSF10B	ZNF442
AKT2	PPIE	RALGPS2
ZBED4	EEF1D	EXOSC4
SLC25A28	SUB1	DGKZ
C1orf109	MMGT1	TDG
USP14	MOSPD1	TENM1
PEPD	EIF1AX	TRAPPC1
ACIN1	USP33	ZCCHC11
CBLL1	RAB11FIP1	BOLA2B
DNAH1	TET1	PHF23
EHD1	REXO2	DDIT3
NPR2	CRLS1	RAB39B
PGPEP1	ST13P20	RANGRF
PPIAP22	EIF4A1P2	GSTM1
SAPCD2	ATP9B	STAG3L4
SMCR7	LDLRAD4	IMMP2L
UNK	ZNF212	CFDP1
ZNF219	RHOF	IFI44
PKN3	MCF2L	SLC16A14
PIGL	ZSWIM5	CASP4
LPCAT3	SCN8A	TAF6
TDP1	PIGK	TRIT1
NOMO2	HHIP-AS1	ACTR8
MLST8	DNMBP	RNU6-29P
ZNF668	RAB6A	RNU6-29
C9orf16	YIPF4	DGUOK
MRPS5	FAM206A	MSRB2
SNX14	NDUFA13	DNAJC7
BLOC1S1	ADAT2	FAM174B
BPGM	CDADC1	ARL4D
MED10	DPY19L1	FOXP1
SUGP2	BBX	ESYT2
GRINA	MAD1L1	EEF1A1P3
ALYREF	CHI3L2	TPST1
GNB2L1	EXOC1	SPAG9
FLII	USP1	UBL7
SETD8	POC5	DEGS2
OTUB1	CYB5A	TMEM206
GYS1	TRIQK	HUS1
PPP6R3	SIRT1	DESI2
OXR1	IMPA1	LRRC61
EEF1A1P6	HERC2	ARHGAP12
C7orf26	BAI2	SH3GL3
MKI67	CAPSL	POLR2B
FKBP1C	ZNRF2	TBC1D9B
PRPF19	GXYLT1	ZNF207
MIR155HG	LYPLAL1	MTCH2
CLSTN3	YY1	C12orf52
KIAA2013	AIG1	PRMT3
ACOT7	MSTO1	SNX2
TRIP13	LRRC8C	RABAC1
INPP5K	SHKBP1	ZZZ3
TTC32	TRIM5	ASB8
EEF1A1	MT-ND2	C4orf3
RPL32P34	RSU1	SLC35B1
ZC3H3	DCP2	CLGN
CBS	ZBTB2	C1D
TLE3	AGL	WDR36
SMARCC2	FRMD5	THAP1
HMG20B	ACTR2	C19orf52
FIZ1	THAP4	SPG7
HIST2H2BD	GTF3C2	ZEB1
CLCN2	BTBD3	BAZ2B
EGFL7	GLIPR1	APPL1
RNU1-11P	KLF10	MSRB3
THAP7	PHF2	RPAIN
TLN2	OSER1	NINJ2
PRCP	C20orf111	TOMM20
POR	LMAN1	MKL2
ZNF91	ZNF236	DLEU2L
WDR18	POLB	RBM28
BET1L	HK2	DOC2A
LPIN2	HLA-B	SESTD1
YIPF3	MAD2L1BP	VPS29
CNIH	FBL	MAGI1
SETD1B	SENP2	PSMA7
SENP3	PPIF	GSTM2
HMGA1	ADM	CHRNA3
EEF1A1P11	TGDS	SETDB2
KIRREL2	TMF1	OXSR1
TECR	LINC00852	CCDC12
NOL6	CPSF7	RPA2P2
C17orf62	RPS14	PIGA
TXNRD1	POLE3	EMC6
SLC7A6	ATP6V1H	URI1
MCRS1	EEF1DP1	MANF
ATG9A	HIAT1	BACH1
MAN2A1	PTPMT1	ATG16L2
TOM1	RUVBL2	NDEL1
KDM4A	WDR18	ZNF506
CDC42SE1	RPL31P49	C22orf28
SUFU	VPS26A	RTCB
RPL4P4	CASP7	DENND5B
TAB2	ARL5B	MAGOH
GSE1	DERL2	YY1
PAK4	SLC46A3	PSTPIP2
PSMD13	WHSC1	KIAA0368
AKAP8L	PTER	PRDX5
AP1G2	NCEH1	SERINC3
BMPR2	KIDINS220	PARP9
CDC37	DNPH1	FZD3
EIF4A1P2	NUS1	ZDHHC21
FAM98C	EBPL	SCNN1D
RUFY3	B3GALT6	ABCB10
SLC48A1	BHLHB9	ARL4C
SPR	LHPP	SCAF11
TM7SF3	MTRR	SERBP1P1
KIF3C	RFXAP	LTA4H
USP12	EIF4A1P6	WASF1
SDHAF2	MDN1	GLYR1
SSU72	PTGR2	ATF4P3
SNRPA	FAIM	SUV420H1
CDK4	RPTOR	MNF1
HMGN2P4	PSMB1	MOCS1
CLPP	CAST	BTBD10
GOLGB1	PREP	ZBTB18
ZCWPW1	CELF5	SLC36A4
MTATP6P1	TRMT10C	STIM2
RBM42	KDM5A	ESAM
STK25	GAD1	FUS
C8orf33	RAG2	FAM50A
LEPREL4	GEMIN5	EIF2AK4
PSMA6P2	SNRPB	PPIAP16
UBE2E1	METTL2B	DNM1
SGTA	RPP38	BLOC1S5
NCKAP5L	PELP1	USP48
FASTK	RFWD3	NDUFA1
GRWD1	DDIT4	COPE
SHB	WDR48	OLA1
CREB3L4	RABGAP1L	SMNDC1
RHPN1	SLX1B	HENMT1
TMEM223	VCL	IRS1
FARSA	LARS2	CEP350
FAM161A	PACS2	ITGA4
PIGT	RPS3AP6	PRNP
WASH4P	TMEM14C	HMGCL
CD99L2	RAB6C	METTL6
POMP	ATP5G1	PGK1
ZP3	NUDT17	SCAMP3
RFNG	POM121C	BTF3P9
PABPC1L	ATAD3B	SNX29
ZNF251	ROCK2	ADIRF-AS1
AEN	DNAJC11	PPIAP3
AKNA	CD2AP	BANF1P3
BCAS3	TARDBP	CPNE3
PPIAP3	PHGDH	IL4
RNF166	PDCD6	COL4A5
RNMTL1	NCBP1	TRAF6
SNHG15	LYSMD4	TERF2
ZNF385A	WARS2	VWCE
PLEKHG4	BBIP1	SMC3
RPL4P1	ELMOD2	GPR19
TMUB2	PLS1	TRIM65
AK4	FIP1L1	ANAPC10
ARPC2	PLEKHH1	ACP6
RPP38	ICT1	C5orf56
TICAM1	WDR70	CA8
DYM	TFDP1	MGAT4A
RPL6	GPATCH8	AURKA
ATIC	RORB	CMTM6
ZNF420	MRPL27	DHCR24
POMZP3	BDP1	NUDT17
PSMB8	FBXO30	COPG1
SNORA76	GATA3	NDUFB9
AP5Z1	ETV6	KXD1
MCM5	PPM1G	SCRN2
CHEK2	RGS2	RAB11FIP2
HTRA2	CEP85	NMRAL1
CD247	TRAPPC12	MCMBP
CARD11	CD52	DGCR6
PIK3C2B	ARRDC3	ARHGAP1
CXXC5	SETD2	CTH
PLSCR3	TCEB2	EIF1B
RNF168	GOLGA8A	TMEM219
HIST1H2AB	PRL	SPAG16
PDP1	PPM1N	FLOT1
WIZ	C6orf62	PPP1R8
RPL4	FHOD1	DGAT2
CHCHD6	RAPGEF1	MRC2
WDR24	JRK	MFSD1
TIPRL	M6PR	BTF3L4P4
DNM1	EMC1	NDUFAF3
TUBBP1	FAM110D	HEMK1
RPS10P14	C6orf57	FTH1P10
PPIAP31	PSMA2	LAMTOR3
RPL27A	NBPF8P	BCL2L13
PCNA	TRDMT1	JMJD4
COLGALT1	ZNF317	PIN4P1
GLT25D1	GOLGA7	UROS
DPY30	PCBD2	CEP85
CCNI2	MARCH5	GDI1
PLOD1	RPS3AP44	TMCO1
CACNB1	MGAT4A	TYMS
LIMS2	ANKRD36B	CYP26A1
NUDT9	CEP104	FN3KRP
RAB2B	DPH3	FTH1
SBNO2	AIM1	NT5DC2
TBC1D8B	RAD18	GAMT
TP53I11	OXTR	HNRNPC
VPS25	ARPP19	MALT1
ACYP1	PREPL	INSIG1
PAPOLG	RPL17P50	GPR180
LONP2	EGR1	RNF11
SAMD4B	RNU6-15	GANC
DCLRE1B	RNU6-15P	IBTK
MSI2	PSMB7	COX6A1P2
MYO18B	HECTD1	PTGES3
C6orf89	STK11	MGA
NMB	HEATR6	EFHA1
INTS1	MPZL1	MICU2
POLE3	JARID2	CAPZA2
PBX2	RLF	SNORD5
ZNF580	RPS4XP16	NDUFS8
HIST2H2AA4	LAMP1	MTMR4
NSFL1C	HIST2H2BE	NBPF8P
HSP90AB1	TTPAL	TFRC
GMPPA	HIST1H4J	UBXN2B
VPS72	INF2	NPR2
HARS	HIST1H2AG	AKT2
SMYD4	HEBP1	RPS4XP17
EEF1B2P3	PRMT2	BOLA2
SMC3	SOGA2	PAX9
RCC1	AHRR	CRHR1-IT1
ABCE1	UQCRQ	NCOA7
TEX10	PSMD6	VKORC1
TMEM70	CKAP2	TIMM21
RBM10	POLR2H	QTRT1
FOXN2	CD81	CHCHD7
JAK1	VPS45	STARD4
TUBBP10	SMIM11	PPP2R5C
PFKFB3	ZNF302	BCAS3
ZC3H11B	FOXK1	RASA3
ZER1	ZNF672	ZCCHC8
SSR4	CDCA8	MCPH1
RPL24P4	C19orf43	ATP5G1
CHD2	PHB	ATG3
SCAND1	ETF1	BDH1
IAH1	NME7	TERF2IP
RPL14	RPL21P44	CCDC57
C5orf45	C5orf56	GNE
LPAR2	GSTK1	REEP5
PPIAP16	KNTC1	TIMM10
RSU1	ZWINT	LINC00173
SCAMP5	RBBP9	TF
SLC25A35	DESI1	SEPHS2
TFEB	ST13P15	SMN2
UBA6	DCTN2	PHF21A
MBD6	PEX5L	USP24
IFT122	TIMM9	ASB13
KDM4B	AOC2	C11orf75
FBLN5	ATG4C	SMCO4
DNM2	IKZF5	TSR2
AGPAT3	RTKN2	AOC2
SURF4	IDH3A	MCTP1
PPME1	C11orf65	NDUFAF5
MRPL37	CHFR	CYP20A1
ARHGEF9	ANP32B	MT-RNR2
HDHD3	SLC24A6	TBC1D15
TGIF2	SLC8B1	ZNF211
DPF1	MRPL53	L2HGDH
TOP3A	SLC38A9	MYO1B
LRRC33	SNRK	DAPK1
NRROS	MTOR	ANKRD13C
ZBTB17	C4orf21	FAT1
MOCS1	NPAS2	KIAA0947
TAF7	COQ5	SNRNP200
PRELID1	POGK	SLC9A3R1
PLOD3	HSPA4L	RSL24D1
CHI3L2	ABCB10	GPATCH11
GPS2	FAM200B	ANKMY2
DPP7	GUCD1	C1orf56
ZNF32	HYPK	ZNF678
TBC1D9B	ENAH	RFT1
PLXNA1	MOB4	SERGEF
SLC43A1	CENPK	EPC1
BTN3A2	ZC3H11A	PSMB9
NBPF3	UBAP2	DNAJB1
TMEM199	VKORC1	SEPW1
KIAA0907	MTND2P28	ELP3
NOMO1	SHMT2	GPR137
MSRB2	SETP14	GLUD2
CDK2AP2	RGS10	SLK
GLTPD1	SRP54	MALAT1
AGTRAP	TNRC6B	NCAPD3
RFX1	CHRNA3	ZNF326
MON1B	RNASEK	HELZ
RNF216P1	CCNE2	SLC25A5P8
NUCKS1	CEP350	BEX2
TUBB	BRAT1	ATL3
HAGHL	LYRM7	GNRH1
C17orf67	GLYR1	RHOT1
DERA	PRMT3	COMT
STK11IP	E2F2	PDHX
UPF1	ARMCX5	MOB1A
HMGB1P10	POLR1D	BBS2
UBXN1	POP7	ARF6
ZNF268	AKD1	HNRNPA2B1
GTPBP6	AK9	DNAJC30
KCTD13	DYM	MIDN
TMEM160	PLAGL2	FOXN3
RHOC	ARHGAP9	PTDSS2
CTSC	ZNF814	HERPUD1
JMJD8	ARF5	RINL
ATP8B5P	ATP5A1P7	PPIAP22
C19orf25	ZNF416	HEG1
DOHH	APPL1	TRAPPC9
FJX1	DDB1	CCDC61
GATSL3	PNPLA2	ANKMY1
HSD17B14	TBC1D5	PHF10
NBEAL2	CHAF1B	BRAF
NDST1	HIST2H2AA4	MT-ND6
SLC25A10	ACTBP1	KDM4C
SPEG	RAPGEFL1	ENPP4
WBSCR16	CENPW	RPL23
UQCRC1	BCL6	BTF3L4P1
EEF1DP2	PSMG4	MOAP1
SNX17	FUT10	COG4
PTBP3	PTPLAD1	RPL18A
SGSM3	EIF4B	NTN1
SLC25A23	ANXA2	EIF3L
CRK	ZNF644	SLC24A6
PSPH	RPS3AP49	SLC8B1
CNPPD1	CIAO1	MBOAT7
VAMP5	RPL24P4	ZNF638
ATXN7L3B	PARD3	HIRIP3
SEMA7A	ACAD9	PHF17
BOLA2	RPS27A	GPSM1
MKRN1	LYRM1	ZNF75A
HMGB3	SLC35B3	MAD2L2
EEF1A1P3	UBA5	MEAF6
PAFAH1B3	SH2B3	DCAF16
ERO1L	PITX1	SF3B3
RNASEH1	C10orf2	EBNA1BP2
PPP1R26	PMAIP1	POFUT2
EEF1E1	SIAH1	POC1B
KCNAB2	RHOB	SNX15
SETD2	TBC1D20	ZC3HAV1
CTTN	MRPL28	FGFBP2
SV2A	DDX59	TMEM129
SLC27A5	CHST2	SLC39A1
RPL6P12	MLF1IP	KIF3A
PTK7	DUSP5	RASSF8
COPE	SHISA5	IMPDH2
ATG4B	HINT2	SLC35A4
TBC1D2B	RRN3	EPRS
MIR22HG	WDR4	TPM1
STMN1	BTN2A1	FAM133CP
ETHE1	RGS3	B2M
NAT1	ITPKA	WDR4
ASUN	ZNF609	PIKFYVE
REXO4	GABPB1	KLHL24
SERF2	RTFDC1	RNF103
PHF20	GCA	HIGD2A
WBP11	FYB	ZHX2
APEH	BOLA1	USP34
ZHX3	PMM2	EBP
HSPBP1	STK40	MTIF3
PLEC	DNMT1	TOP1
ZNF304	DCXR	EIF4A3
RBM7	ABTB1	C20orf24
VMA21	XPO6	PPP1CA
ZNF468	RCE1	RAB6A
TACC2	PTMA	MEF2BNB-MEF2B
SPECC1L	DBF4P1	CECR5
TCTN1	COQ4	WASL
CENPV	AKIRIN1	GAR1
THAP11	RPL31P61	ZNF770
TCEA2	BIRC6	ZDHHC13
ADAT3	NUMA1	ZBTB10
CNOT10	ITPR1	RPS15P5
DNASE1	GANAB	YPEL3
LMF1	COMT	RPL13A
RFXANK	TMX1	RAB21
STARD5	NABP1	RAP1B
TBCC	ATP7A	NAAA
IL7R	PSIP1	ARV1
SRM	CASC3	ATP6V1H
RPL4P5	TRRAP	HPS3
RAB15	UBE2A	LITAF
GPR161	HMGB2	CSPP1
RPL3P8	ENKD1	RAPGEF6
GPKOW	ANTXR1	PSMG1
RPL21P65	ZNF195	CSDA
SNHG16	HES4	YBX3
PLP2	QTRT1	UTP18
RASA4	ZNF616	ZDHHC8
RRS1	DPAGT1	KIN
EIF2B5	DDX3Y	ZBTB4
EXOC3	PRKRA	ATOX1
CR2	PFKFB3	VPS16
SLC38A10	GLI3	PBLD
CCDC47	ZNF510	ENO1
RTN2	PLAG1	COX6A1
DDA1	MYO19	CCDC167
RGL2	SENP7	TCTEX1D2
RPL3P2	NUCB2	PHLDA3
RTFDC1	CYP26A1	HMGN2
PTGDR2	ZNF397	MLLT6
EEF1A1P24	TRAP1	GNL3L
OGG1	RPS6KB2	DPY19L1
MAGOH	HIST1H4B	BTF3L4P3
SULT1A1	MCM7	MAPK6
MEAF6	SLC39A1	EFTUD1
XYLT2	HSPA13	TCEAL8
PSMC2	GPR113	SIRT5
GSDMD	KMT2C	CTSK
PIM3	MLL3	PPARGC1B
FAM89B	ENPP4	FIBP
TIMM13	CHML	SLIRP
RPPH1	PIK3C3	PCDHB2
DCTN5	CUL2	TMEM14C
TGIF1	TRERF1	CD55
PDRG1	ADCK4	CC2D1A
DDX56	MOB2	PRPF4B
RAD51D	KIAA0100	RPL31P49
PPP1R14B	TM9SF4	PSME3
PEX3	RASSF1	MKI67IP
ST13	COPB1	CKAP2
CCDC107	TRAPPC2	ARHGAP33
ATP6AP1	MTFP1	DYNC1I2
GAPDHP45	ZNF580	AGAP3
HSF1	PRDX5	CABLES2
MAP2K3	C5orf42	ARL2BP
PPIAP29	MIEN1	PPEF1
STAC3	AHSA2	GOLPH3L
TMEM200B	PTMAP5	RAB6C
TADA2B	ZNF564	BYSL
SDCCAG8	ADPGK	CAPN10
HOMER1	MIR155HG	RPRD2
TNK2	RPL31P63	SERPINB9
ATF7	MRPS12	RALGAPB
GLB1	BCAS2	SNRPD3
BIRC5	RPAIN	SMARCC2
TGS1	ARHGAP19	LIPT1
UAP1	PDXP	PDZD11
C19orf70	IST1	TBC1D3
MINK1	TNFRSF21	P2RX4
C12orf29	APEX1	IDH3B
RRM2P3	ARID1B	SSFA2
EWSR1	ECT2	KIAA0907
